127.0.0.1, 2016-12-27 14:07:18, GET, /, HTTP/1.1, 303, 0.001157
127.0.0.1, 2016-12-27 14:07:18, GET, /welcome/default/index, HTTP/1.1, 200, 0.232382
127.0.0.1, 2016-12-27 14:07:38, GET, /example, HTTP/1.1, 404, 0.000552
127.0.0.1, 2016-12-27 14:07:40, GET, /examples, HTTP/1.1, 200, 0.009930
127.0.0.1, 2016-12-27 14:07:45, GET, /examples/default/examples, HTTP/1.1, 200, 0.080941
127.0.0.1, 2016-12-27 14:07:47, GET, /welcome/default/index, HTTP/1.1, 200, 0.026875
127.0.0.1, 2016-12-27 14:07:56, GET, /admin, HTTP/1.1, 200, 0.099853
127.0.0.1, 2016-12-27 14:07:58, POST, /admin/default/index, HTTP/1.1, 303, 0.038663
127.0.0.1, 2016-12-27 14:07:58, GET, /admin/default/site, HTTP/1.1, 200, 0.067482
127.0.0.1, 2016-12-27 14:08:00, POST, /admin/default/check_version, HTTP/1.1, 200, 1.384088
127.0.0.1, 2016-12-27 14:08:04, POST, /admin/default/site, HTTP/1.1, 303, 0.084525
127.0.0.1, 2016-12-27 14:08:04, GET, /admin/default/design/aces, HTTP/1.1, 200, 0.148486
127.0.0.1, 2016-12-27 14:08:08, GET, /admin/default/peek/aces/models/menu.py, HTTP/1.1, 200, 0.047950
127.0.0.1, 2016-12-27 14:08:11, GET, /admin/default/peek/aces/controllers/default.py, HTTP/1.1, 200, 0.057073
127.0.0.1, 2016-12-27 14:08:21, GET, /admin/default/design/aces, HTTP/1.1, 200, 0.111406
127.0.0.1, 2016-12-27 14:08:25, GET, /aces, HTTP/1.1, 200, 0.053106
127.0.0.1, 2016-12-27 14:08:36, GET, /admin/default/edit/aces/views/default/index.html, HTTP/1.1, 200, 0.047481
127.0.0.1, 2016-12-27 14:08:37, GET, /admin/default/edit/aces/views/default/index.html, HTTP/1.1, 200, 0.059886
127.0.0.1, 2016-12-27 14:08:37, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.067133
127.0.0.1, 2016-12-27 14:08:37, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.127994
127.0.0.1, 2016-12-27 14:08:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.185685
127.0.0.1, 2016-12-27 14:08:37, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.036281
127.0.0.1, 2016-12-27 14:08:37, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.203966
127.0.0.1, 2016-12-27 14:08:51, GET, /aces/default/index, HTTP/1.1, 200, 0.471205
127.0.0.1, 2016-12-27 14:08:55, GET, /admin/default/edit/aces/views/default/index.html, HTTP/1.1, 200, 0.048271
127.0.0.1, 2016-12-27 14:08:55, GET, /admin/default/edit/aces/views/default/index.html, HTTP/1.1, 200, 0.046532
127.0.0.1, 2016-12-27 14:08:55, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.139725
127.0.0.1, 2016-12-27 14:08:55, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.243173
127.0.0.1, 2016-12-27 14:08:56, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.372907
127.0.0.1, 2016-12-27 14:08:56, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.174564
127.0.0.1, 2016-12-27 14:08:57, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 1.867934
127.0.0.1, 2016-12-27 14:09:19, GET, /aces/default/index, HTTP/1.1, 200, 0.567883
127.0.0.1, 2016-12-27 14:09:46, GET, /admin/default/edit/aces/controllers/default.py, HTTP/1.1, 200, 0.041635
127.0.0.1, 2016-12-27 14:09:46, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.013830
127.0.0.1, 2016-12-27 14:09:55, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.114998
127.0.0.1, 2016-12-27 14:09:57, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 1.411157
127.0.0.1, 2016-12-27 14:10:07, GET, /admin/default/edit/aces/views/default/index.html, HTTP/1.1, 200, 0.059673
127.0.0.1, 2016-12-27 14:10:08, GET, /admin/default/edit/aces/controllers/default.py, HTTP/1.1, 200, 0.036329
127.0.0.1, 2016-12-27 14:10:11, GET, /aces/default/call, HTTP/1.1, 404, 0.225738
